company,job,place,exp,salary,combined
"Arihant Publications                        
Actively hiring",Editorial Assistant - School Books Division (MBA Only),Noida,0 year(s),"₹ 2,40,000 - 3,00,000","editorial assistant - school books division (mba only) arihant publications                        
actively hiring noida"
"Avitzo Services LLP                        
Actively hiring",Corporate Sales Executive,Hyderabad,0 year(s),"₹ 2,00,000 - 2,50,000","corporate sales executive avitzo services llp                        
actively hiring hyderabad"
"Lakedge Technologies Private Limited                        
Actively hiring",Field Sales Manager,Bangalore,0 year(s),"₹ 2,00,000 - 4,00,000","field sales manager lakedge technologies private limited                        
actively hiring bangalore"
"Intugine Technologies Private Limited                        
Actively hiring",Data Entry Executive,"Kuppam, Belur, Hirakud, Renukoot, Raipur, Navi Mumbai, Mahan, Bhadrak, Premnagar, Silvassa",0 year(s),"₹ 2,00,000 - 2,10,000","data entry executive intugine technologies private limited                        
actively hiring kuppam, belur, hirakud, renukoot, raipur, navi mumbai, mahan, bhadrak, premnagar, silvassa"
"Vibrant Publishers                        
Actively hiring",Human Resources (HR) Executive,Mumbai,0 year(s),"₹ 2,00,000 - 3,00,000","human resources (hr) executive vibrant publishers                        
actively hiring mumbai"
"Mr n Mrs Pet                        
Actively hiring",Quality Analyst,Jaipur,1 year(s),"₹ 2,00,000 - 2,50,000","quality analyst mr n mrs pet                        
actively hiring jaipur"
"InstaAstro                        
Actively hiring",Product Analyst,Noida,1 year(s),"₹ 2,50,000 - 3,50,000","product analyst instaastro                        
actively hiring noida"
"Creatiwise                        
Actively hiring",Graphic Designer,Work from home,0 year(s),"₹ 2,00,000 - 2,40,000","graphic designer creatiwise                        
actively hiring work from home"
"InstaAstro                        
Actively hiring",Software Developer,Noida,1 year(s),"₹ 2,50,000 - 4,00,000","software developer instaastro                        
actively hiring noida"
"Globussoft                        
Actively hiring",Inside Sales Executive,Koramangala,1 year(s),"₹ 3,00,000 - 3,50,000","inside sales executive globussoft                        
actively hiring koramangala"
"The Formal Edit                        
Actively hiring",Content Writer,Delhi,0 year(s),"₹ 3,00,000 - 3,24,000","content writer the formal edit                        
actively hiring delhi"
"Dough One Sources Private Limited                        
Actively hiring",Warehouse Manager,"Sonipat, Haryana",1 year(s),"₹ 2,00,000 - 4,00,000","warehouse manager dough one sources private limited                        
actively hiring sonipat, haryana"
"Avaesa                        
Actively hiring",General Sales Executive,Chennai,0 year(s),"₹ 2,00,000 - 2,16,000","general sales executive avaesa                        
actively hiring chennai"
"Goodera                        
Actively hiring",Associate - Ambassador Management,Bangalore,1 year(s),"₹ 4,00,000 - 5,00,000","associate - ambassador management goodera                        
actively hiring bangalore"
"CloudBird Digital Private Limited                        
Actively hiring",Business Development Associate,Noida,0 year(s),"₹ 2,00,000 - 3,00,000","business development associate cloudbird digital private limited                        
actively hiring noida"
"Exquisite Employee Manifest                        
Actively hiring",Creative Writer,Mumbai,1 year(s),"₹ 3,00,000 - 5,00,000","creative writer exquisite employee manifest                        
actively hiring mumbai"
"AppVersal                        
Actively hiring",Community Manager,Noida,1 year(s),"₹ 2,00,000 - 3,00,000","community manager appversal                        
actively hiring noida"
"TaptoHello                        
Actively hiring",Sales Executive (B2B),Noida,1 year(s),"₹ 5,00,000 - 10,00,000","sales executive (b2b) taptohello                        
actively hiring noida"
"Womoneysta                        
Actively hiring",Investment Operations Associate – Wealth Management,Gurgaon,1 year(s),"₹ 3,00,000 - 4,50,000","investment operations associate – wealth management womoneysta                        
actively hiring gurgaon"
"CloudBird Digital Private Limited                        
Actively hiring",Pre Sales Executive,Noida,0 year(s),"₹ 2,00,000 - 3,00,000","pre sales executive cloudbird digital private limited                        
actively hiring noida"
"Something New Around You! (Recco)                        
Actively hiring",Digital Marketing Specialist,Bangalore                                                    (Hybrid),1 year(s),"₹ 5,40,000 - 7,20,000","digital marketing specialist something new around you! (recco)                        
actively hiring bangalore                                                    (hybrid)"
"C Pi Media Services Pvt Ltd                        
Actively hiring",Graphic Designer,Pune,0 year(s),"₹ 2,00,000 - 2,20,000","graphic designer c pi media services pvt ltd                        
actively hiring pune"
"Gifts Of Love Retail Pvt Ltd                        
Actively hiring",Accountant,Gurgaon,1 year(s),"₹ 3,00,000 - 4,10,000","accountant gifts of love retail pvt ltd                        
actively hiring gurgaon"
"Fund Abroad                        
Actively hiring",Student Engagement Officer,Hyderabad,0 year(s),"₹ 3,00,000 - 4,50,000","student engagement officer fund abroad                        
actively hiring hyderabad"
"Klicksurge                        
Actively hiring",Graphic Designer,Noida,1 year(s),"₹ 2,00,000 - 2,40,000","graphic designer klicksurge                        
actively hiring noida"
