company,job,place,exp,salary,combined
"Contour Education                        
Actively hiring",Graphic Designer (Educational Content),Work from home,0 year(s),"₹ 3,00,000","graphic designer (educational content) contour education                        
actively hiring work from home"
Denave India Private Limited,Field Sales Executive,Work from home,0 year(s),"₹ 2,00,000 - 2,50,000",field sales executive denave india private limited work from home
The OmniJobs,Client Acquisition Associate,Noida,0 year(s),"₹ 2,00,000",client acquisition associate the omnijobs noida
Insync Realty Group,Architect,Lucknow,1 year(s),"₹ 2,00,000 - 5,00,000",architect insync realty group lucknow
Decathlon Sports India,Corporate Sales Executive,Bangalore,0 year(s),"₹ 2,50,000 - 3,00,000",corporate sales executive decathlon sports india bangalore
DesiCrew Solutions,Data Entry Associate,Kaup,0 year(s),"₹ 2,00,000 - 2,50,000",data entry associate desicrew solutions kaup
HITECH MACHINES,Junior Product Marketing Associate,Ahmedabad,0 year(s),"₹ 2,40,000 - 3,60,000",junior product marketing associate hitech machines ahmedabad
"Mangostine Technologies Private Limited                        
Actively hiring",Merchandise Designer,Noida,1 year(s),"₹ 2,00,000 - 5,00,000","merchandise designer mangostine technologies private limited                        
actively hiring noida"
"RegisterKaro                        
Actively hiring",Finance Associate,Gurgaon,0 year(s),"₹ 2,40,000 - 2,64,000","finance associate registerkaro                        
actively hiring gurgaon"
"RPRP Limited (DBA Saas Corps) (Hong Kong, Hong Kong SAR)                        
Actively hiring",Google Ads Expert (3-10 Years Experience Required),Work from home,1 year(s),"$ 14,400 - 18,000","google ads expert (3-10 years experience required) rprp limited (dba saas corps) (hong kong, hong kong sar)                        
actively hiring work from home"
"RPRP Limited (DBA Saas Corps) (Hong Kong, Hong Kong SAR)                        
Actively hiring",SEO Expert (3-10 Years Experience),Work from home,1 year(s),"$ 14,400 - 18,000","seo expert (3-10 years experience) rprp limited (dba saas corps) (hong kong, hong kong sar)                        
actively hiring work from home"
"MetaNucleus Tech Private Limited                        
Actively hiring",Full Stack Developer,Mohali,1 year(s),"₹ 2,00,000 - 2,20,000","full stack developer metanucleus tech private limited                        
actively hiring mohali"
Mantra Softech India Private Limited,Junior Telecaller,Ahmedabad,0 year(s),"₹ 2,00,000 - 2,50,000",junior telecaller mantra softech india private limited ahmedabad
"Mangostine Technologies Private Limited                        
Actively hiring",UI/UX Designer,Noida,1 year(s),"₹ 3,00,000 - 5,00,000","ui/ux designer mangostine technologies private limited                        
actively hiring noida"
"Infiny Technologies                        
Actively hiring",Computer Executive,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","computer executive infiny technologies                        
actively hiring work from home"
Asian Skills Training Private Limited,Telecaller,Delhi,0 year(s),"₹ 2,50,000 - 2,52,000",telecaller asian skills training private limited delhi
Green Scienx,International Sales,Pollachi,0 year(s),"₹ 2,00,000 - 3,00,000",international sales green scienx pollachi
Divine Placements,Content Writer,Work from home,1 year(s),"₹ 2,00,000 - 3,00,000",content writer divine placements work from home
Codearies,Full Stack Developer,Work from home,1 year(s),"₹ 5,00,000 - 7,00,000",full stack developer codearies work from home
"Infiny Technologies                        
Actively hiring",Computer Executive,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","computer executive infiny technologies                        
actively hiring work from home"
Asian Skills Training Private Limited,Telecaller,Delhi,0 year(s),"₹ 2,50,000 - 2,52,000",telecaller asian skills training private limited delhi
Green Scienx,International Sales,Pollachi,0 year(s),"₹ 2,00,000 - 3,00,000",international sales green scienx pollachi
Divine Placements,Content Writer,Work from home,1 year(s),"₹ 2,00,000 - 3,00,000",content writer divine placements work from home
Codearies,Full Stack Developer,Work from home,1 year(s),"₹ 5,00,000 - 7,00,000",full stack developer codearies work from home
Shikhar Gupta,Field Sales Manager,Delhi                                                    (Hybrid),1 year(s),"₹ 2,50,000 - 3,00,000",field sales manager shikhar gupta delhi                                                    (hybrid)
Natturz Bio Kontrol Private Limited,Telecaller,Delhi,0 year(s),"₹ 2,00,000 - 2,50,000",telecaller natturz bio kontrol private limited delhi
Stimulus Research Services Private Limited,Business Development Manager,"Varanasi, Varanasi Sub-District",1 year(s),"₹ 3,00,000 - 3,50,000","business development manager stimulus research services private limited varanasi, varanasi sub-district"
Craftsmen,Business Development Manager,Ghaziabad,1 year(s),"₹ 3,00,000 - 3,60,000",business development manager craftsmen ghaziabad
22 Luna,Business Development Associate,Bangalore,1 year(s),"₹ 7,00,000 - 8,00,000",business development associate 22 luna bangalore
IPSAA,Corporate Sales Manager,"Gurgaon, Mumbai",1 year(s),"₹ 5,00,000 - 12,00,000","corporate sales manager ipsaa gurgaon, mumbai"
PUNO,Junior Social Media Marketing Executive,Guwahati,1 year(s),"₹ 2,00,000 - 2,10,000",junior social media marketing executive puno guwahati
"UpTalkk                        
Actively hiring",Creative Designer,Work from home,1 year(s),"₹ 2,00,000 - 3,00,000","creative designer uptalkk                        
actively hiring work from home"
"UpTalkk                        
Actively hiring",Business Development Manager,Work from home,1 year(s),"₹ 3,00,000 - 4,80,000","business development manager uptalkk                        
actively hiring work from home"
Reinforce Tech,Data Entry Specialist,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000",data entry specialist reinforce tech work from home
"Cosmos Staffing Solutions                        
Actively hiring",Associate Telecaller,"Gurgaon, Jaipur, Noida",0 year(s),"₹ 3,08,000 - 3,48,000","associate telecaller cosmos staffing solutions                        
actively hiring gurgaon, jaipur, noida"
Codelux Solutions,Customer Care Executive,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000",customer care executive codelux solutions work from home
Entujn Food Tech Pvt Ltd,Software Engineer Trainee,Nagpur,1 year(s),"₹ 2,00,000 - 3,00,000",software engineer trainee entujn food tech pvt ltd nagpur
Everyday Digital Solutions,Corporate Sales Executive,Mohali,1 year(s),"₹ 2,00,000 - 3,50,000",corporate sales executive everyday digital solutions mohali
"Cosmos Staffing Solutions                        
Actively hiring",Customer Service Associate,Noida,0 year(s),"₹ 3,00,000 - 4,00,000","customer service associate cosmos staffing solutions                        
actively hiring noida"
"Systemic Altruism                        
Actively hiring",Technical Talent Acquistion,Work from home,1 year(s),"₹ 5,00,000 - 8,00,000","technical talent acquistion systemic altruism                        
actively hiring work from home"
"Cosmos Staffing Solutions                        
Actively hiring",Business Research Associate,Udaipur,0 year(s),"₹ 3,00,000 - 3,50,000","business research associate cosmos staffing solutions                        
actively hiring udaipur"
"Swipe Automations (Karachi, Pakistan)                        
Actively hiring",Youtube Scriptwriter,Work from home,1 year(s),"$ 3,000 - 10,000","youtube scriptwriter swipe automations (karachi, pakistan)                        
actively hiring work from home"
"Persist Ventures                        
Actively hiring",Full Stack AI Engineer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","full stack ai engineer persist ventures                        
actively hiring work from home"
"DataVinci Private Limited                        
Actively hiring",Analyst - UX And Marketing,Work from home,1 year(s),"₹ 6,00,000 - 8,00,000","analyst - ux and marketing datavinci private limited                        
actively hiring work from home"
"Persist Ventures                        
Actively hiring",AI Engineer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","ai engineer persist ventures                        
actively hiring work from home"
"DataVinci Private Limited                        
Actively hiring",Web Analytics Developer,Work from home,1 year(s),"₹ 4,50,000 - 5,50,000","web analytics developer datavinci private limited                        
actively hiring work from home"
"SmartBridge Educational Services Private Limited                        
Actively hiring",Backend Developer,Hyderabad,1 year(s),"₹ 5,00,000 - 6,00,000","backend developer smartbridge educational services private limited                        
actively hiring hyderabad"
"Systemic Altruism                        
Actively hiring",Growth Marketer,Work from home,1 year(s),"₹ 6,00,000 - 8,00,000","growth marketer systemic altruism                        
actively hiring work from home"
"Persist Ventures                        
Actively hiring",Technical Talent Acquisition,Work from home,1 year(s),"₹ 5,00,000 - 8,00,000","technical talent acquisition persist ventures                        
actively hiring work from home"
"Impca Services Private Limited                        
Actively hiring",Web Developer,Mumbai,1 year(s),"₹ 2,40,000 - 3,50,000","web developer impca services private limited                        
actively hiring mumbai"
"Aadi Foundation                        
Actively hiring",Corporate Sales Executive,Work from home,1 year(s),"₹ 2,00,000 - 5,00,000","corporate sales executive aadi foundation                        
actively hiring work from home"
"Aadi Foundation                        
Actively hiring",Corporate Sales Associate,Work from home,1 year(s),"₹ 2,00,000 - 5,00,000","corporate sales associate aadi foundation                        
actively hiring work from home"
"Peore                        
Actively hiring",Accountant,Gurgaon,1 year(s),"₹ 3,00,000 - 5,00,000","accountant peore                        
actively hiring gurgaon"
NANCY KHURANA,Recruiter,Ahmedabad,0 year(s),"₹ 2,40,000 - 3,35,000",recruiter nancy khurana ahmedabad
"Testline                        
Actively hiring",Artificial Intelligence (AI) Associate,Work from home,0 year(s),"₹ 3,00,000 - 5,00,000","artificial intelligence (ai) associate testline                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",ASP.NET Developer,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","asp.net developer virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Internet of Things (IoT) Associate,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","internet of things (iot) associate virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Hotel Management Associate,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","hotel management associate virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Associate Physicist,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","associate physicist virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Agriculture & Food Engineer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","agriculture & food engineer virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Film Production Executive,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","film production executive virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Junior Pharmaceutical Manager,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","junior pharmaceutical manager virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Associate Supply Chain Manager (SCM),Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","associate supply chain manager (scm) virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Junior Media & Public Relations (PR) Executive,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","junior media & public relations (pr) executive virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Instrumentation and Control Engineer,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","instrumentation and control engineer virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Junior Software Tester,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","junior software tester virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Human Resources (HR) Associate,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","human resources (hr) associate virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Business Strategy Associate,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","business strategy associate virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Associate Programmer,Work from home,0 year(s),"₹ 8,00,000 - 10,00,000","associate programmer virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Animator,Work from home,0 year(s),"₹ 9,00,000 - 12,00,000","animator virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",3D Printing Associate,Work from home,0 year(s),"₹ 9,00,000 - 12,00,000","3d printing associate virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Customer Acquisition Manager,Work from home,0 year(s),"₹ 9,00,000 - 12,00,000","customer acquisition manager virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Associate Mobile App Developer,Work from home,0 year(s),"₹ 9,00,000 - 12,00,000","associate mobile app developer virtual silver technology private limited                        
actively hiring work from home"
"Virtual Silver Technology Private Limited                        
Actively hiring",Associate Programmer,Work from home,0 year(s),"₹ 9,00,000 - 12,00,000","associate programmer virtual silver technology private limited                        
actively hiring work from home"
Maximalist Marketing Agency,Senior Telecaller,Work from home,1 year(s),"₹ 2,00,000 - 2,00,001",senior telecaller maximalist marketing agency work from home
House Of Communities,Full Stack Developer,Jaipur                                                    (Hybrid),1 year(s),"₹ 3,60,000 - 4,00,000",full stack developer house of communities jaipur                                                    (hybrid)
Elegant Audio Video Solutions,Junior Social Media Marketing Executive,Delhi                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 2,50,000",junior social media marketing executive elegant audio video solutions delhi                                                    (hybrid)
Rtee Talent Management,Corporate Sales Executive,"Bharuch, Ahmedabad, Vadodara Dodiya",0 year(s),"₹ 2,50,000 - 4,50,000","corporate sales executive rtee talent management bharuch, ahmedabad, vadodara dodiya"
Copperpod IP,Telecaller,"Ambala, Chandigarh, Mohali                                                    (Hybrid)",0 year(s),"₹ 2,50,000 - 3,60,000","telecaller copperpod ip ambala, chandigarh, mohali                                                    (hybrid)"
NUPI Infotech,Business Development Associate,Mumbai,0 year(s),"₹ 3,00,000 - 4,00,000",business development associate nupi infotech mumbai
Online Zone,Human Resources (HR) Executive,Work from home,0 year(s),"₹ 2,00,000 - 3,00,000",human resources (hr) executive online zone work from home
Fixkart,Sales Advisor,Bangalore,0 year(s),"₹ 2,50,000 - 3,00,000",sales advisor fixkart bangalore
CloudMotiv IT Technologies Pvt. Ltd.,Junior Sales Manager,Pune,2 year(s),"₹ 5,00,000 - 5,00,001",junior sales manager cloudmotiv it technologies pvt. ltd. pune
"Systemic Altruism                        
Actively hiring",AI Automation Engineer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","ai automation engineer systemic altruism                        
actively hiring work from home"
Prime Enterprises,Accountant,Vasai-Virar,1 year(s),"₹ 2,00,000 - 2,10,000",accountant prime enterprises vasai-virar
"Dobby Ads                        
Actively hiring",3D Animator,Work from home,0 year(s),"₹ 3,00,000 - 3,60,000","3d animator dobby ads                        
actively hiring work from home"
Marvel Infocomm Private Limited,Executive Admin,Ahmedabad,1 year(s),"₹ 2,00,000 - 3,00,000",executive admin marvel infocomm private limited ahmedabad
Mancer Consulting Services Private Limited,Recruitment Consultant,Pune                                                    (Hybrid),1 year(s),"₹ 3,00,000 - 4,00,000",recruitment consultant mancer consulting services private limited pune                                                    (hybrid)
Emerge It Solution,Customer Service Executive,Bangalore,0 year(s),"₹ 3,60,000 - 5,00,000",customer service executive emerge it solution bangalore
TSL Marketing,Business Development Specialist,Pune,0 year(s),"₹ 2,40,000 - 3,00,000",business development specialist tsl marketing pune
FirstCry.com,Online Reputation Marketing,Pune,1 year(s),"₹ 3,00,000 - 3,50,000",online reputation marketing firstcry.com pune
"TSL Marketing                        
Actively hiring",Business Development Specialist,Pune,0 year(s),"₹ 2,40,000 - 3,00,000","business development specialist tsl marketing                        
actively hiring pune"
WorldRef Technologies Private Limited,UI/UX Designer,Delhi,1 year(s),"₹ 3,50,000 - 4,00,000",ui/ux designer worldref technologies private limited delhi
Gautam Modi Group,Accountant,Mumbai,1 year(s),"₹ 2,16,000 - 3,00,000",accountant gautam modi group mumbai
Edu Plus Now,Counselor,Pune,1 year(s),"₹ 2,00,000",counselor edu plus now pune
Shivam Limbani,"On Field Marketing, Sales","Thane, Vasai-Virar                                                    (Hybrid)",0 year(s),"₹ 2,50,000","on field marketing, sales shivam limbani thane, vasai-virar                                                    (hybrid)"
Shankar Subramanian,Administration Executive,Pune,1 year(s),"₹ 2,40,000",administration executive shankar subramanian pune
Iagami Technologies Private Limited,Customer Service Executive,Tiruchirappalli,1 year(s),"₹ 15,00,000 - 60,00,000",customer service executive iagami technologies private limited tiruchirappalli
Social Jogi,Business Development Executive,Navi Mumbai                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 2,50,000",business development executive social jogi navi mumbai                                                    (hybrid)
ASHA EREAL MEDIA,Digital Marketing Executive,"Kolkata, Dhakuria, New Alipur, Behala, Bhabanipur, Khidirpur",1 year(s),"₹ 2,00,000 - 2,20,000","digital marketing executive asha ereal media kolkata, dhakuria, new alipur, behala, bhabanipur, khidirpur"
Outback Ventures,Corporate Sales Executive,Delhi,0 year(s),"₹ 2,00,000",corporate sales executive outback ventures delhi
Karan Dhaliwal,Cinematographer,Bathinda,1 year(s),"₹ 4,00,000",cinematographer karan dhaliwal bathinda
United HR Solutions Private Limited,Associate Recruiter,Ahmedabad,0 year(s),"₹ 2,00,000",associate recruiter united hr solutions private limited ahmedabad
Bindal Agencies Private Limited,CRM Executive,Chennai,1 year(s),"₹ 2,00,000",crm executive bindal agencies private limited chennai
Bootstart Spaces And Hospitality Private Limited,Operations Manager,Pune,1 year(s),"₹ 2,00,000 - 3,00,000",operations manager bootstart spaces and hospitality private limited pune
Tripease,Travel Sales Consultant,Delhi,0 year(s),"₹ 2,00,000 - 2,40,000",travel sales consultant tripease delhi
Laangza Waters Pvt Ltd,Corporate Sales Manager,Delhi,1 year(s),"₹ 17,00,000 - 18,00,000",corporate sales manager laangza waters pvt ltd delhi
Atharwa Wealth,Administration Associate,Mumbai,0 year(s),"₹ 2,00,000 - 2,20,000",administration associate atharwa wealth mumbai
PKS Capital Advisory,Executive Assistant For CEO,Kolkata                                                    (Hybrid),0 year(s),"₹ 2,00,000",executive assistant for ceo pks capital advisory kolkata                                                    (hybrid)
Event Chakra,Client Service Executive,Delhi,1 year(s),"₹ 3,00,000 - 4,00,000",client service executive event chakra delhi
Chirayu Power Private Limited,Senior Sales Executive,Nagpur,1 year(s),"₹ 2,00,000 - 5,00,000",senior sales executive chirayu power private limited nagpur
"Group Futurista                        
Actively hiring",Event Management Executive,Work from home,1 year(s),"₹ 2,00,000","event management executive group futurista                        
actively hiring work from home"
"Cosmos Staffing Solutions                        
Actively hiring",Content Writer,Jaipur,0 year(s),"₹ 2,80,000 - 4,20,000","content writer cosmos staffing solutions                        
actively hiring jaipur"
"Cosmos Staffing Solutions                        
Actively hiring",Junior Search Engine Optimization (SEO) Associate,Jaipur,1 year(s),"₹ 3,00,000 - 4,50,000","junior search engine optimization (seo) associate cosmos staffing solutions                        
actively hiring jaipur"
In-Solutions Global Limited,Customer Acquisition Associate,Noida,0 year(s),"₹ 2,00,000 - 2,04,000",customer acquisition associate in-solutions global limited noida
The Agency Source,Data Input Associate,Delhi,0 year(s),"₹ 2,00,000 - 2,00,001",data input associate the agency source delhi
"Wehire Talent Solutions                        
Actively hiring",Nepali Language Interpreter,Work from home,0 year(s),"₹ 3,60,000 - 5,50,000","nepali language interpreter wehire talent solutions                        
actively hiring work from home"
"Mangostine Technologies Private Limited                        
Actively hiring",Accountant,Noida,1 year(s),"₹ 2,00,000 - 4,00,000","accountant mangostine technologies private limited                        
actively hiring noida"
"Infiny Technologies                        
Actively hiring",Back-End Management Executive,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","back-end management executive infiny technologies                        
actively hiring work from home"
Fixdax Technology Private Limited,Junior Lead Generation Specialist,Noida,1 year(s),"₹ 2,00,000 - 3,00,000",junior lead generation specialist fixdax technology private limited noida
CRL Interior,Architect,Bangalore,3 year(s),"₹ 7,00,000 - 8,00,000",architect crl interior bangalore
Mithila M,Field Sales Manager,Pune,4 year(s),"₹ 5,00,000 - 6,00,000",field sales manager mithila m pune
English Connection,Video Editor,"Chandigarh, Panchkula",1 year(s),"₹ 2,00,000 - 3,00,000","video editor english connection chandigarh, panchkula"
HR And PR Media Broadcasting Entertainment Private Limited,Content Writer,Hyderabad,0 year(s),"₹ 3,00,000 - 4,00,000",content writer hr and pr media broadcasting entertainment private limited hyderabad
"Systemic Altruism                        
Actively hiring",Ai Startup Founder,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","ai startup founder systemic altruism                        
actively hiring work from home"
"Persist Ventures                        
Actively hiring",Ai Startup Founder,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","ai startup founder persist ventures                        
actively hiring work from home"
Anand Aggarwal Properties,Field Sales Executive,Delhi,1 year(s),"₹ 2,00,000 - 5,00,000",field sales executive anand aggarwal properties delhi
"The Trading Fox                        
Actively hiring",Crypto Expert Trader,Jaipur,0 year(s),"₹ 2,00,000 - 3,00,000","crypto expert trader the trading fox                        
actively hiring jaipur"
Sasikala Gandhi,Show Room Sales - Jewellery,"Coimbatore North, Coimbatore South",1 year(s),"₹ 2,00,000 - 2,50,000","show room sales - jewellery sasikala gandhi coimbatore north, coimbatore south"
"Persist Ventures                        
Actively hiring",AI Flutter App Founder,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","ai flutter app founder persist ventures                        
actively hiring work from home"
Big Assets Infra,Corporate Sales Executive,Gurgaon,0 year(s),"₹ 2,50,000 - 6,00,000",corporate sales executive big assets infra gurgaon
Sahayak Associates,Junior Social Media Marketing Executive,Chandigarh,0 year(s),"₹ 2,00,000 - 3,00,000",junior social media marketing executive sahayak associates chandigarh
B.O.S Consultant,Customer Care Executive,Ghaziabad,1 year(s),"₹ 2,00,000 - 3,00,000",customer care executive b.o.s consultant ghaziabad
"Persist Ventures                        
Actively hiring",AI Full Stack Founder,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","ai full stack founder persist ventures                        
actively hiring work from home"
Learning Routes,Corporate Sales Associate,Mumbai,0 year(s),"₹ 3,00,000 - 4,00,000",corporate sales associate learning routes mumbai
"Softcell Technologies Limited                        
Actively hiring",Human Resource Trainee,"Navi Mumbai, Mumbai",0 year(s),"₹ 2,00,000","human resource trainee softcell technologies limited                        
actively hiring navi mumbai, mumbai"
MixPrime Tradecom Private Limited,Customer Service Executive,"Thane, Bhiwandi",0 year(s),"₹ 2,00,000 - 3,00,000","customer service executive mixprime tradecom private limited thane, bhiwandi"
"Infiny Technologies                        
Actively hiring",Back-end Operating Executive,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","back-end operating executive infiny technologies                        
actively hiring work from home"
"Credvest India Private Limited                        
Actively hiring",Recruiter,Bangalore,1 year(s),"₹ 3,00,000 - 3,50,000","recruiter credvest india private limited                        
actively hiring bangalore"
Dwij AI Labs,Sales Development Representative,Ahmedabad,0 year(s),"₹ 2,00,000 - 5,00,000",sales development representative dwij ai labs ahmedabad
Adventure Media,Junior Video Editor,Pune                                                    (Hybrid),1 year(s),"₹ 2,00,000",junior video editor adventure media pune                                                    (hybrid)
Oak Tree Software,Business Development Executive,Indore,0 year(s),"₹ 2,00,000 - 3,00,000",business development executive oak tree software indore
EvolveMinds,Customer Care Executive,Gurgaon,0 year(s),"₹ 2,00,000 - 2,20,000",customer care executive evolveminds gurgaon
Sk Raj,Telecaller,Lucknow,0 year(s),"₹ 2,00,000 - 3,00,000",telecaller sk raj lucknow
Deepak Resourse,Accountant,"Vasai, Nala Sopara, Vasai-Virar",3 year(s),"₹ 5,00,000 - 5,50,000","accountant deepak resourse vasai, nala sopara, vasai-virar"
"Persist Ventures                        
Actively hiring",Automation Bot Developer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","automation bot developer persist ventures                        
actively hiring work from home"
"Contour Education                        
Actively hiring",Automations Executive,Work from home,0 year(s),"₹ 5,00,000","automations executive contour education                        
actively hiring work from home"
"PlaigroundHQ                        
Actively hiring",Digital Marketing Specialist,Ahmedabad,1 year(s),"₹ 2,00,000 - 6,00,000","digital marketing specialist plaigroundhq                        
actively hiring ahmedabad"
Wellness Diagnostic Private Limited,Telesales Executive,Delhi,0 year(s),"₹ 2,00,000 - 2,50,000",telesales executive wellness diagnostic private limited delhi
Reena Sharm,MEP/Mechanical/HVAC Estimator Required,Work from home,1 year(s),"₹ 4,50,000 - 6,00,000",mep/mechanical/hvac estimator required reena sharm work from home
"Infiny Technologies                        
Actively hiring",Associate Back-End Operations Executive,Work from home,0 year(s),"₹ 4,00,000 - 8,00,000","associate back-end operations executive infiny technologies                        
actively hiring work from home"
"PlaigroundHQ                        
Actively hiring",Front End Developer,Ahmedabad,1 year(s),"₹ 2,00,000 - 6,00,000","front end developer plaigroundhq                        
actively hiring ahmedabad"
Kridha Properties,Digital Marketing Associate,Work from home,0 year(s),"₹ 2,00,000 - 4,00,000",digital marketing associate kridha properties work from home
Flexiple,Operations Manager,Bangalore,0 year(s),"₹ 6,00,000 - 7,00,000",operations manager flexiple bangalore
ABEC Limited (Asian Business Exhibitions And Conferences),Business Development Executive,Mumbai,0 year(s),"₹ 3,00,000 - 6,00,000",business development executive abec limited (asian business exhibitions and conferences) mumbai
Sai Chaitanya Equipment,Field Sales Executive,"Aurangabad, Nashik",0 year(s),"₹ 2,00,000 - 2,14,000","field sales executive sai chaitanya equipment aurangabad, nashik"
My Content Cafe,Business Development Executive,"Bhilai, Bilaspur, Durg, Raipur, Chhattisgarh",0 year(s),"₹ 2,00,000","business development executive my content cafe bhilai, bilaspur, durg, raipur, chhattisgarh"
Charme,Video Editor,Lucknow,1 year(s),"₹ 3,40,000 - 3,75,000",video editor charme lucknow
Spacefusion,Architect,"Mumbai, Mira Bhayandar, Mira Road",1 year(s),"₹ 2,50,000 - 3,00,000","architect spacefusion mumbai, mira bhayandar, mira road"
Resin Bazaar,Showroom Sales Executive,Ludhiana,1 year(s),"₹ 2,00,000 - 2,40,000",showroom sales executive resin bazaar ludhiana
"Systemic Altruism                        
Actively hiring",Team Leader,Work from home,1 year(s),"₹ 6,00,000 - 8,00,000","team leader systemic altruism                        
actively hiring work from home"
TopRankers,Center Manager,Mumbai,3 year(s),"₹ 5,00,000 - 6,00,000",center manager toprankers mumbai
"Systemic Altruism                        
Actively hiring",Automation Software Developer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","automation software developer systemic altruism                        
actively hiring work from home"
"Sao Digital (Melbourne City, Australia)                        
Actively hiring",Motion Graphic Designer (2D & 3D - Social Media),Work from home,1 year(s),"₹ 3,00,000 - 3,50,000","motion graphic designer (2d & 3d - social media) sao digital (melbourne city, australia)                        
actively hiring work from home"
"Systemic Altruism                        
Actively hiring",Business Strategy Manager,Work from home,1 year(s),"₹ 6,00,000 - 8,00,000","business strategy manager systemic altruism                        
actively hiring work from home"
V3M Logistics India Private Limited,Transport Sales Executive,Faridabad,1 year(s),"₹ 5,00,000 - 6,00,000",transport sales executive v3m logistics india private limited faridabad
Ganesh Soni,Associate Telecaller,Jaipur,0 year(s),"₹ 2,00,000",associate telecaller ganesh soni jaipur
"Axe Consultancy And Security Services LLC                        
Actively hiring",UI/UX Designer,Work from home,0 year(s),"₹ 7,20,000 - 8,50,000","ui/ux designer axe consultancy and security services llc                        
actively hiring work from home"
Growone Enterprise Ltd,Human Resources (HR) Associate,Pune,0 year(s),"₹ 2,00,000 - 3,00,000",human resources (hr) associate growone enterprise ltd pune
"Infiny Technologies                        
Actively hiring",Computer Operator,Work from home,0 year(s),"₹ 4,00,000 - 8,00,000","computer operator infiny technologies                        
actively hiring work from home"
"Share At Door Step                        
Actively hiring",Customer Service Executive,Work from home,0 year(s),"₹ 2,16,000 - 2,40,000","customer service executive share at door step                        
actively hiring work from home"
Jakhu Fitness,Junior Accountant,Delhi,0 year(s),"₹ 2,00,000 - 2,10,000",junior accountant jakhu fitness delhi
Visual Vault Enterprises LLP,Graphic Designer,Pune                                                    (Hybrid),0 year(s),"₹ 2,00,000 - 2,50,000",graphic designer visual vault enterprises llp pune                                                    (hybrid)
Livmax Advisors,Pre-sales Executive,Pune,0 year(s),"₹ 2,20,000 - 3,60,000",pre-sales executive livmax advisors pune
